rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.9710,0,0,0,0,8.109048070,6.7870000e-05,-6.7870000e-05,132.8031000,7.160000e-03,-7.160000e-03,0.0250,0.4250,-0.0250,3.59600,0.19800,-0.19800,2.1740e+02,1.680e+01,-1.680e+01,1.30,9.000e-02,-1.200e-01,800.0,,,97.03,19.90,-22.09,14.10,3,q1_q17_dr25_tce,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,292.376130,47.880989,15.416
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,386.603052800,1.3690000e-04,-1.3690000e-04,166.3420790,2.990000e-04,-2.990000e-04,0.9765,0.0497,-0.0268,6.80570,0.01840,-0.01840,2.4927e+04,4.580e+01,-4.580e+01,41.50,1.680e+00,-1.680e+00,297.0,,,1.84,0.26,-0.24,994.00,1,q1_q16_tce,5543.00,79.00,-79.00,4.081,0.014,-0.014,1.5800,0.0640,-0.0640,292.273740,37.671558,12.394
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,21.676991930,7.0100000e-05,-7.0100000e-05,171.5359400,2.580000e-03,-2.580000e-03,0.8960,0.0100,-0.6630,3.45550,0.06560,-0.06560,8.5720e+02,2.710e+01,-2.710e+01,2.95,1.200e-01,-2.300e-01,530.0,,,18.64,2.78,-3.80,34.30,1,q1_q17_dr25_tce,4954.00,79.00,-79.00,4.500,0.075,-0.020,0.8280,0.0320,-0.0650,290.465120,47.929180,15.377
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.996779680,1.3890000e-05,-1.3890000e-05,171.7420800,2.190000e-03,-2.190000e-03,0.7100,0.0060,-0.5330,2.17170,0.07620,-0.07620,9.3470e+02,3.970e+01,-3.970e+01,2.78,5.200e-01,-2.300e-01,917.0,,,166.95,102.06,-42.14,28.20,1,q1_q17_dr25_tce,5339.00,175.00,-159.00,4.552,0.034,-0.136,0.8470,0.1610,-0.0690,297.808260,47.946671,15.861
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.280963604,6.1410000e-06,-6.1410000e-06,171.8965900,1.150000e-03,-1.150000e-03,0.4240,0.1120,-0.3560,2.87500,0.04200,-0.04200,7.5080e+02,1.410e+01,-1.410e+01,2.30,5.800e-01,-1.900e-01,1012.0,,,247.87,182.24,-63.32,61.80,1,q1_q17_dr25_tce,5644.00,152.00,-169.00,4.564,0.032,-0.168,0.8310,0.2070,-0.0690,294.265810,49.314091,15.356
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,1.506354090,4.7000000e-07,-4.7000000e-07,170.9980640,2.460000e-04,-2.460000e-04,0.8600,0.0420,-0.1250,1.51550,0.04830,-0.04830,2.2117e+03,1.830e+01,-1.830e+01,4.53,1.010e+00,-4.400e-01,1452.0,,,1054.12,703.10,-292.26,181.10,1,q1_q17_dr25_tce,5714.00,155.00,-172.00,4.563,0.040,-0.160,0.8310,0.1860,-0.0800,295.665220,49.351009,15.525
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,670.645531000,1.2370000e-03,-1.2370000e-03,209.0435500,1.570000e-03,-1.570000e-03,0.7010,0.0040,-0.0050,53.41200,0.13100,-0.13100,1.8091e+04,3.350e+01,-3.350e+01,14.14,2.130e+00,-7.100e-01,196.0,,,0.35,0.15,-0.06,642.70,1,q1_q17_dr25_tce,5520.00,100.00,-111.00,4.466,0.032,-0.120,0.9830,0.1480,-0.0490,296.698610,49.316479,15.207
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,61.256362800,1.5600000e-04,-1.5600000e-04,173.8382600,2.090000e-03,-2.090000e-03,1.2480,6.9120,-0.0670,7.63300,0.10500,-0.10500,5.1233e+03,7.060e+01,-7.060e+01,39.87,1.279e+01,-5.480e+00,505.0,,,15.43,14.85,-5.51,85.30,1,q1_q17_dr25_tce,6144.00,184.00,-220.00,4.402,0.072,-0.217,1.0910,0.3500,-0.1500,283.725920,49.479519,15.250
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,38.377548600,1.6020000e-04,-1.6020000e-04,172.8204800,3.380000e-03,-3.380000e-03,0.4680,0.4610,-0.2670,5.58800,0.11300,-0.11300,7.2420e+02,2.340e+01,-2.340e+01,2.82,3.700e-01,-3.400e-01,529.0,,,18.53,6.72,-4.93,34.70,1,q1_q17_dr25_tce,5481.00,82.00,-74.00,4.369,0.121,-0.099,1.0360,0.1380,-0.1240,291.722020,49.480869,15.172
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,41.197255020,9.3450000e-05,-9.3450000e-05,165.0040400,1.710000e-03,-1.710000e-03,0.0450,0.3370,-0.0450,4.62970,0.06330,-0.06330,2.2139e+03,4.550e+01,-4.550e+01,3.86,1.500e-01,-3.300e-01,439.0,,,8.76,1.27,-1.90,51.20,2,q1_q17_dr25_tce,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,286.999480,48.375790,15.841
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.252962249,9.5770000e-06,-9.5770000e-06,171.3012600,1.170000e-03,-1.170000e-03,0.1050,0.3290,-0.1050,2.58190,0.04260,-0.04260,1.0369e+03,2.450e+01,-2.450e+01,2.65,1.000e-01,-2.300e-01,823.0,,,108.30,15.73,-23.44,47.10,3,q1_q17_dr25_tce,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,286.999480,48.375790,15.841
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,16.013084190,4.8540000e-05,-4.8540000e-05,176.3608000,2.430000e-03,-2.430000e-03,0.7990,0.0970,-0.5510,3.25540,0.07910,-0.07910,1.1219e+03,3.940e+01,-3.940e+01,3.10,3.400e-01,-3.100e-01,593.0,,,29.31,11.77,-8.24,33.20,1,q1_q17_dr25_tce,5015.00,164.00,-149.00,4.499,0.092,-0.115,0.8260,0.0910,-0.0820,297.025630,48.478588,15.390
